,id,beta,Date,marketcap,type
2480,BTC,0.6773392632033111,2018-08-20,110988156150.01,crypto
2481,BTC,0.6336913818951849,2018-08-21,110217715871.25,crypto
2482,BTC,0.6290917119570569,2018-08-22,113325461005.52,crypto
2483,BTC,0.6294950115429873,2018-08-23,110841581888.95999,crypto
2484,BTC,0.6257833208964172,2018-08-24,112860425587.0,crypto
2485,BTC,0.6372980983618424,2018-08-27,115713504392.5,crypto
2486,BTC,0.6383666879462594,2018-08-28,120442773387.18001,crypto
2487,BTC,0.632049319150192,2018-08-29,121522779528.95999,crypto
2488,BTC,0.6259767472858307,2018-08-30,119451849154.75,crypto
2489,BTC,0.6179382869212223,2018-08-31,120368788159.08,crypto
2490,BTC,0.6070540842034442,2018-09-04,126238693846.0,crypto
2491,BTC,0.6222299963636223,2018-09-05,122954551434.25,crypto
2492,BTC,0.6406802449069657,2018-09-06,110807730532.5,crypto
2493,BTC,0.6223751749080556,2018-09-07,111211823199.75,crypto
2494,BTC,0.6203096974178068,2018-09-10,108540097645.64,crypto
2495,BTC,0.6356763335359585,2018-09-11,108599691753.75,crypto
2496,BTC,0.6353679218366479,2018-09-12,108215905404.48,crypto
2497,BTC,0.6261569074996144,2018-09-13,111204536266.75,crypto
2498,BTC,0.6263133500505285,2018-09-14,112237171634.54999,crypto
2499,BTC,0.6431471689930164,2018-09-17,110508131106.0,crypto
2500,BTC,0.6322434407599935,2018-09-18,108739512942.48,crypto
2501,BTC,0.6361633363426485,2018-09-19,109456580282.94,crypto
2502,BTC,0.6339609681176849,2018-09-20,110767982902.72,crypto
2503,BTC,0.6212584460667782,2018-09-21,115064286702.0,crypto
2504,BTC,0.6262481886015612,2018-09-24,114760053517.5,crypto
2505,BTC,0.6475130366033041,2018-09-25,110905689967.75,crypto
2506,BTC,0.6411805352510319,2018-09-26,111740270103.0,crypto
2507,BTC,0.6450179813240196,2018-09-27,112733415118.75,crypto
2508,BTC,0.6586821425259471,2018-09-28,115255065614.66,crypto
2509,BTC,0.6535425477860528,2018-10-01,113847918969.6,crypto
2510,BTC,0.6510315067488572,2018-10-02,113238770808.0,crypto
2511,BTC,0.6509886261013834,2018-10-03,111572448895.0,crypto
2512,BTC,0.63720081957044,2018-10-04,113312489890.5,crypto
2513,BTC,0.6388122579717834,2018-10-05,113268163015.68001,crypto
2514,BTC,0.6175121553549516,2018-10-08,114046617066.75,crypto
2515,BTC,0.6127627312788188,2018-10-09,114049593146.12001,crypto
2516,BTC,0.5925959631162305,2018-10-10,112863478133.25,crypto
2517,BTC,0.6430371610974951,2018-10-11,107615073869.24,crypto
2518,BTC,0.6337179096782752,2018-10-12,107423504035.75,crypto
